latitude;longitude;depth
56.12785155;9.95476132;0.0
56.12785335;9.9547602;0.0
56.12785514;9.9547591;0.0
56.12785695;9.95475787;0.0
56.12785869;9.95475666;0.0
56.12786053;9.95475535;0.0
56.12786223;9.954754;0.0
56.12786406;9.95475263;0.0
56.12786584;9.95475131;0.0
56.12786778;9.95474991;0.0
56.12786958;9.95474862;0.0
56.12787147;9.95474746;0.0
56.12787311;9.95474631;0.0
56.12787469;9.95474517;0.0
56.12787601;9.95474421;0.0
56.1278772;9.95474338;0.0
56.12787808;9.95474272;0.0
56.12787876;9.95474219;0.0
56.12787923;9.95474185;0.0
56.12787969;9.95474179;0.0
56.12787994;9.95474165;0.0
56.12788015;9.95474152;0.0
56.12788033;9.9547414;0.0
56.12788047;9.95474127;0.0
56.12788064;9.95474117;0.0
56.12788082;9.95474111;0.0
56.12788099;9.95474109;0.0
56.12788116;9.95474111;0.0
56.12788137;9.95474115;0.0
56.12788147;9.9547413;0.0
56.12788152;9.95474144;0.0
56.1278815;9.95474158;0.0
56.12788146;9.9547418;0.0
56.12788139;9.95474188;0.0
56.1278813;9.95474195;0.0
56.12788119;9.95474203;0.0
56.12788112;9.95474214;0.0
56.12788097;9.95474225;0.0
56.12788084;9.95474234;0.0
56.12788077;9.95474241;0.0
56.12788078;9.95474247;0.0
56.12788072;9.95474246;0.0
56.12788067;9.95474243;0.0
56.12788061;9.9547424;0.0
56.12788058;9.95474235;0.0
56.12788056;9.95474215;0.0
56.12788061;9.95474205;0.0
56.12788067;9.95474192;0.0
56.12788074;9.95474179;0.0
56.12788068;9.95474164;0.0
56.12788076;9.95474151;0.0
56.12788089;9.95474133;0.0
56.12788102;9.95474117;0.0
56.12788117;9.95474096;0.0
56.1278813;9.95474085;0.0
56.12788143;9.95474077;0.0
56.12788153;9.9547407;0.0
56.12788158;9.95474049;0.0
56.12788163;9.95474042;0.0
56.12788166;9.95474037;0.0
56.12788167;9.95474034;0.0
56.12788167;9.95474034;0.0
56.12788171;9.95474032;0.0
56.12788165;9.95474032;0.0
56.12788157;9.95474033;0.0
56.12788146;9.95474036;0.0
56.1278814;9.95474031;0.0
56.12788129;9.95474033;0.0
56.1278812;9.95474036;0.0
56.12788111;9.95474039;0.0
56.12788106;9.95474035;0.0
56.12788099;9.95474035;0.0
56.12788093;9.95474035;0.0
56.12788089;9.95474032;0.0
56.12788077;9.95474024;0.0
56.12788072;9.95474024;0.0
56.1278807;9.95474023;0.0
56.12788074;9.9547402;0.0
56.12788079;9.95474017;0.0
56.12788089;9.95474015;0.0
56.12788096;9.95474014;0.0
56.12788104;9.95474015;0.0
56.12788113;9.95474015;0.0
56.12788128;9.95474019;0.0
56.12788137;9.95474017;0.0
56.12788145;9.95474013;0.0
